"Code","CoinName","Algorithm","IsTrading","ProofType","TotalCoinsMined","TotalCoinSupply"
42,"42 Coin","Scrypt",1,"PoW/PoS",41.99995383,42
365,"365Coin","X11",1,"PoW/PoS",0,2300000000
404,"404Coin","Scrypt",1,"PoW/PoS",1055184902.04,532000000
611,"SixEleven","SHA-256",1,"PoW",0,611000
808,808,"SHA-256",1,"PoW/PoS",0,0
1337,"EliteCoin","X13",1,"PoW/PoS",29279424622.5027,314159265359
2015,"2015 coin","X11",1,"PoW/PoS",0,0
"BTC","Bitcoin","SHA-256",1,"PoW",17927175,21000000
"ETH","Ethereum","Ethash",1,"PoW",107684222.6865,0
"LTC","Litecoin","Scrypt",1,"PoW",63039243.3000049,84000000
"DASH","Dash","X11",1,"PoW/PoS",9031294.37563393,22000000
"XMR","Monero","CryptoNight-V7",1,"PoW",17201143.1449131,0
"ETC","Ethereum Classic","Ethash",1,"PoW",113359703,210000000
"ZEC","ZCash","Equihash",1,"PoW",7383056.25,21000000
"BTS","Bitshares","SHA-512",1,"PoS",2741570000,3600570502
"DGB","DigiByte","Multiple",1,"PoW",11406219141,21000000000
"BTCD","BitcoinDark","SHA-256",1,"PoW/PoS",1288862,22000000
"CRAIG","CraigsCoin","X11",1,"PoS",0,30000000
"XBS","Bitstake","X11",1,"PoW/PoS",0,1300000
"XPY","PayCoin","SHA-256",1,"PoS",11995334.8847328,12500000
"PRC","ProsperCoin","Scrypt",1,"PoW",5768310,21000000
"YBC","YbCoin","Multiple",1,"PoS",0,200000000
"DANK","DarkKush","X13",1,"PoW/PoS",0,3000000
"GIVE","GiveCoin","X11",1,"PoW",0,500000000
"KOBO","KoboCoin","X15",1,"PoW/PoS",25542535.5881841,350000000
"DT","DarkToken","NIST5",1,"PoW/PoS",0,0
"CETI","CETUS Coin","Scrypt",1,"PoW/PoS",0,0
"SPR","Spreadcoin","X11",1,"PoW",11149733.9976203,20000000
"WOLF","Insanity Coin","X11",1,"PoW",0,50000000
"ACOIN","ACoin","SHA-256",1,"PoW",0,1600000
"AERO","Aero Coin","X13",1,"PoS",0,7000000
"ALF","AlphaCoin","Scrypt",1,"PoW",0,210182000
"AGS","Aegis","X13",1,"PoS",0,0
"AMC","AmericanCoin","Scrypt",1,"PoW",0,168000000
"ALN","AlienCoin","Scrypt",1,"PoW",0,200000000
"APEX","ApexCoin","X13",1,"PoW/PoS",0,6000000
"ARCH","ArchCoin","Scrypt",1,"PoS",0,16403135
"ARG","Argentum","Scrypt",1,"PoW",12205795.4449549,64000000
"ARI","AriCoin","Scrypt",1,"PoW",0,322649400
"AUR","Aurora Coin","Scrypt",1,"PoW/PoS",18135099.992959,16768584
"BET","BetaCoin","SHA-256",1,"PoW",0,32000000
"BEAN","BeanCash","SHA-256",1,"PoW/PoS",0,50000000000
"BLU","BlueCoin","Scrypt",1,"PoW/PoS",635423900,0
"BQC","BQCoin","Scrypt",1,"PoW",0,88000000
"XMY","MyriadCoin","Multiple",1,"PoW",1688254250,2000000000
"MOON","MoonCoin","Scrypt",1,"PoW",88,384000000000
"ZET","ZetaCoin","SHA-256",1,"PoW",170204389.754849,169795588
"SXC","SexCoin","Scrypt",1,"PoW",128940951.183046,250000000
"QTL","Quatloo","Scrypt",1,"PoW",7357794.7925,100000000
"ENRG","EnergyCoin","Scrypt",1,"PoW/PoS",123062801.128773,0
"QRK","QuarkCoin","Quark",1,"PoW",259557164.91477,247000000
"RIC","Riecoin","Groestl",1,"PoW",49548585.1412917,84000000
"DGC","Digitalcoin ","Scrypt",1,"PoW",33442988.3440364,48166000
"LIMX","LimeCoinX","X11",1,"PoW",0,21000000
"BTB","BitBar","Scrypt",1,"PoW/PoS",42579.476901,500000
"CAIX","CAIx","Scrypt",1,"PoS",0,0
"BTMK","BitMark","Scrypt",1,"PoW",0,27580000
"BUK","CryptoBuk","Scrypt",1,"PoW/PoS",0,100000000
